La Numancia 
El trato de Argel 
La Galatea 
El Ingenioso Hidalgo don Quijote de la Mancha 
Novelas Ejemplares 
Viaje al Parnaso 
Ocho comedias y ocho entremeses nuevos, nunca representados 
El gallardo español
Los baños de Argel
La gran sultana doña Catalina de Oviedo
La casa de los celos
El laberinto de amor
La entretenida
El rufián dichoso
Pedro de Urdemales
El juez de los divorcios
El rufián viudo llamado Trampagos
La elección de los alcaldes de Daganzo
La guarda cuidadosa
El vizcaíno fingido
El retablo de las maravillas
La cueva de Salamanca
El viejo celoso
Los trabajos de Persiles y Segismunda, historia septentrional
